unit,geo,time,values
PC_GEXP,EL,2017,1.03
PC_GEXP,ES,2017,1.25
PC_GEXP,EU27_2020,2017,1.42
PC_GEXP,FI,2017,1.55
PC_GEXP,FR,2017,1.14
PC_GEXP,HR,2017,1.59
PC_GEXP,HU,2017,0.74
PC_GEXP,IE,2017,0.95
PC_GEXP,IS,2017,2.13
PC_GEXP,IT,2017,1.04
PC_GEXP,LT,2017,0.94
PC_GEXP,LU,2017,1.45
PC_GEXP,LV,2017,0.57
PC_GEXP,MT,2017,0.53
PC_GEXP,NL,2017,1.58
PC_GEXP,NO,2017,2.04
PC_GEXP,PL,2017,0.87
PC_GEXP,PT,2017,0.82
PC_GEXP,RO,2017,0.56
PC_GEXP,SE,2017,1.61
PC_GEXP,SI,2017,0.9
PC_GEXP,SK,2017,0.92
PC_GEXP,UK,2017,1.27
PC_GEXP,AT,2018,1.55
PC_GEXP,BE,2018,1.21
PC_GEXP,BG,2018,0.55
PC_GEXP,CH,2018,2.86
PC_GEXP,CY,2018,0.73
PC_GEXP,CZ,2018,1.52
PC_GEXP,DE,2018,2.13
PC_GEXP,DK,2018,1.76
PC_GEXP,EA19,2018,1.47
PC_GEXP,EE,2018,1.79
PC_GEXP,EL,2018,1.28
PC_GEXP,ES,2018,1.25
PC_GEXP,EU27_2020,2018,1.43
PC_GEXP,FI,2018,1.57
PC_GEXP,FR,2018,1.18
PC_GEXP,HR,2018,1.65
PC_GEXP,HU,2018,0.65
PC_GEXP,IE,2018,0.93
PC_GEXP,IS,2018,2.18
PC_GEXP,IT,2018,1.05
PC_GEXP,LT,2018,0.86
PC_GEXP,LU,2018,1.4
PC_GEXP,LV,2018,0.56
PC_GEXP,MT,2018,0.56
PC_GEXP,NL,2018,1.69
PC_GEXP,NO,2018,2.02
PC_GEXP,PL,2018,0.69
PC_GEXP,PT,2018,0.84
PC_GEXP,RO,2018,0.49
PC_GEXP,SE,2018,1.56
PC_GEXP,SI,2018,0.96
PC_GEXP,SK,2018,0.92
PC_GEXP,UK,2018,1.33
PC_GEXP,AT,2019,1.56
PC_GEXP,BE,2019,1.34
PC_GEXP,BG,2019,0.63
PC_GEXP,CH,2019,2.91
PC_GEXP,CY,2019,0.91
PC_GEXP,CZ,2019,1.51
PC_GEXP,DE,2019,2.18
PC_GEXP,DK,2019,1.8
PC_GEXP,EA19,2019,1.49
PC_GEXP,EE,2019,1.6
PC_GEXP,EL,2019,1.47
PC_GEXP,ES,2019,1.24
PC_GEXP,EU27_2020,2019,1.46
PC_GEXP,FI,2019,1.57
PC_GEXP,FR,2019,1.13
PC_GEXP,HR,2019,1.65
PC_GEXP,HU,2019,0.59
